Geneid	NORMAL_1	RESISTANT_1
100287102	0	1
653635	40	116
102466751	0	1
100302278	0	0
645520	0	1
79501	0	0
729737	35	750
102725121	0	4
102723897	43	217
102465909	0	2
729759	0	0
100132287	3	154
105378947	0	0
101928626	1	0
102465432	28	0
81399	0	0
100133331	10	1227
100288069	11	19
400728	2	2
79854	0	34
643837	133	3
284593	0	0
100130417	14	0
148398	34	2
26155	388	484
339451	51	28
84069	46	94
84808	12	57
57801	5	79
9636	88	10
375790	663	2056
105369174	0	0
105378948	5	1
401934	1	8
54991	49	71
254099	0	0
406984	0	8
406983	1	7
554210	2	13
254173	1	18
8784	12	0
7293	14	0
51150	754	226
126792	117	0
388581	2	4
118424	177	154
6339	13	3
116983	180	156
102465434	0	0
126789	22	25
54973	440	293
102465435	0	1
80772	49	48
83756	25	12
1855	118	204
102466740	0	0
54587	426	53
54998	173	55
81669	1822	1990
148413	145	34
55052	242	193
441869	215	18
643965	0	0
102724312	3	0
64856	218	18
219293	28	11
83858	109	190
55210	58	189
339453	0	0
29101	546	152
643988	31	0
142678	103	62
8510	0	0
984	251	352
728661	963	115
8511	3	0
728642	132	357
9906	230	128
65220	621	193
2782	3304	974
105378949	2	0
163688	0	3
339456	0	2
85452	3	0
2563	6	2
5590	177	200
100506504	13	9
199990	66	61
105378592	0	2
6497	545	326
105378594	0	0
79906	35	72
100129534	35	0
11079	799	643
5192	71	66
9651	99	16
55229	23	6
388585	2	0
115110	19	0
8764	71	26
100996583	0	0
127281	43	0
79258	4	0
100287898	0	0
140625	0	0
440556	5	2
63976	20	0
100422968	0	0
27237	166	190
1953	225	178
693135	0	0
127262	739	82
49856	113	115
7161	20	18
57212	176	30
148870	1	0
388588	4	2
57470	331	150
9731	483	586
1677	85	47
339448	221	223
100133612	4	0
728716	1	0
284661	0	0
55966	23	40
100616489	0	0
100616421	0	0
261734	96	130
8514	329	56
26038	5	4
6146	3591	2317
102724450	0	0
388591	147	201
23463	1017	89
148645	1	0
390992	0	0
387509	110	4
11332	125	62
54626	20	4
83715	7	26
100422975	0	0
8718	116	145
57449	154	594
79707	178	416
80835	4	0
3104	205	141
9903	377	29
148479	192	133
90326	72	47
55735	296	338
100505887	0	0
23261	159	226
9341	1467	282
8863	204	595
10911	2	0
3604	40	0
11315	1201	1760
54206	469	1048
102724539	0	0
50651	7	2
473	1444	2675
102724552	0	0
2023	5024	3109
